attack,defense,hp,image_urls,images,name,number,sp_atk,sp_def,speed,total,types
100,90,90,"https://img.pokemondb.net/artwork/moltres.jpg,https://img.pokemondb.net/artwork/moltres-galarian.jpg","[{'url': 'https://img.pokemondb.net/artwork/moltres.jpg', 'path': '146_moltres.jpg', 'checksum': 'b7456bac3ecfa077dd6ccb8486ff4c43', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/moltres-galarian.jpg', 'path': '146_moltres.jpg', 'checksum': 'd293acb208a1fc0ea185093db00b4582', 'status': 'downloaded'}]",moltres,146,125,125,90,620,"Fire,Flying"
64,45,41,https://img.pokemondb.net/artwork/dratini.jpg,"[{'url': 'https://img.pokemondb.net/artwork/dratini.jpg', 'path': '147_dratini.jpg', 'checksum': '5779211cba648c502685d7f0d0d48092', 'status': 'downloaded'}]",dratini,147,50,50,50,300,Dragon
84,65,61,https://img.pokemondb.net/artwork/dragonair.jpg,"[{'url': 'https://img.pokemondb.net/artwork/dragonair.jpg', 'path': '148_dragonair.jpg', 'checksum': 'b1a8018ed59014b3a22509df979b22cf', 'status': 'downloaded'}]",dragonair,148,70,70,70,420,Dragon
134,95,91,https://img.pokemondb.net/artwork/dragonite.jpg,"[{'url': 'https://img.pokemondb.net/artwork/dragonite.jpg', 'path': '149_dragonite.jpg', 'checksum': 'c784683bcb967a7ff7240f050e01f557', 'status': 'downloaded'}]",dragonite,149,100,100,80,600,"Dragon,Flying"
110,90,106,"https://img.pokemondb.net/artwork/mewtwo.jpg,https://img.pokemondb.net/artwork/mewtwo-mega-x.jpg,https://img.pokemondb.net/artwork/mewtwo-mega-y.jpg","[{'url': 'https://img.pokemondb.net/artwork/mewtwo.jpg', 'path': '150_mewtwo.jpg', 'checksum': 'f13e2246a11cbc02e6cf1a36e472bd87', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/mewtwo-mega-x.jpg', 'path': '150_mewtwo.jpg', 'checksum': 'ba75c22dd9c75e6093abf69548d770b5', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/mewtwo-mega-y.jpg', 'path': '150_mewtwo.jpg', 'checksum': 'cd4dbfe17e8e3dd756ff71d0dbd0df58', 'status': 'downloaded'}]",mewtwo,150,154,154,130,744,"Psychic,Psychic"
100,100,100,https://img.pokemondb.net/artwork/mew.jpg,"[{'url': 'https://img.pokemondb.net/artwork/mew.jpg', 'path': '151_mew.jpg', 'checksum': 'c199413be0d5652bc766b59ecfeb1047', 'status': 'downloaded'}]",mew,151,100,100,100,600,Psychic
49,65,45,https://img.pokemondb.net/artwork/chikorita.jpg,"[{'url': 'https://img.pokemondb.net/artwork/chikorita.jpg', 'path': '152_chikorita.jpg', 'checksum': '59618296b7d5fe33a3d669087907f1ab', 'status': 'downloaded'}]",chikorita,152,49,49,45,302,Grass
62,80,60,https://img.pokemondb.net/artwork/bayleef.jpg,"[{'url': 'https://img.pokemondb.net/artwork/bayleef.jpg', 'path': '153_bayleef.jpg', 'checksum': '68a022720321e11bb8e192135cd96fd8', 'status': 'downloaded'}]",bayleef,153,63,63,60,388,Grass
82,100,80,https://img.pokemondb.net/artwork/meganium.jpg,"[{'url': 'https://img.pokemondb.net/artwork/meganium.jpg', 'path': '154_meganium.jpg', 'checksum': '69d0501440936828b717d9266d862a1f', 'status': 'downloaded'}]",meganium,154,83,83,80,508,Grass
52,43,39,https://img.pokemondb.net/artwork/cyndaquil.jpg,"[{'url': 'https://img.pokemondb.net/artwork/cyndaquil.jpg', 'path': '155_cyndaquil.jpg', 'checksum': 'f8276c2dcc03191b7f8fb0922160b7ab', 'status': 'downloaded'}]",cyndaquil,155,60,60,65,319,Fire
64,58,58,https://img.pokemondb.net/artwork/quilava.jpg,"[{'url': 'https://img.pokemondb.net/artwork/quilava.jpg', 'path': '156_quilava.jpg', 'checksum': '03531369d5b2a5658ff37e14ccb10bb5', 'status': 'downloaded'}]",quilava,156,80,80,80,420,Fire
84,78,78,"https://img.pokemondb.net/artwork/typhlosion.jpg,https://img.pokemondb.net/artwork/typhlosion-hisuian.jpg","[{'url': 'https://img.pokemondb.net/artwork/typhlosion.jpg', 'path': '157_typhlosion.jpg', 'checksum': 'cdb3bdaa74f671851116e9ac1b46609e', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/typhlosion-hisuian.jpg', 'path': '157_typhlosion.jpg', 'checksum': '43c71ab0a4e99de6936454eefaed36e9', 'status': 'downloaded'}]",typhlosion,157,109,109,100,558,"Fire,Fire"
65,64,50,https://img.pokemondb.net/artwork/totodile.jpg,"[{'url': 'https://img.pokemondb.net/artwork/totodile.jpg', 'path': '158_totodile.jpg', 'checksum': '5b264fa1bfdb3b4f22c110d0ac34a8ae', 'status': 'downloaded'}]",totodile,158,44,44,43,310,Water
80,80,65,https://img.pokemondb.net/artwork/croconaw.jpg,"[{'url': 'https://img.pokemondb.net/artwork/croconaw.jpg', 'path': '159_croconaw.jpg', 'checksum': '48831a01bb065a4c95bda3198f392347', 'status': 'downloaded'}]",croconaw,159,59,59,58,401,Water
105,100,85,https://img.pokemondb.net/artwork/feraligatr.jpg,"[{'url': 'https://img.pokemondb.net/artwork/feraligatr.jpg', 'path': '160_feraligatr.jpg', 'checksum': '85644ec2a53975f4e35b971cc57d4724', 'status': 'downloaded'}]",feraligatr,160,79,79,78,526,Water
46,34,35,https://img.pokemondb.net/artwork/sentret.jpg,"[{'url': 'https://img.pokemondb.net/artwork/sentret.jpg', 'path': '161_sentret.jpg', 'checksum': 'f41e29aafb7e56a0beeb27fc948563e2', 'status': 'downloaded'}]",sentret,161,35,35,20,205,Normal
76,64,85,https://img.pokemondb.net/artwork/furret.jpg,"[{'url': 'https://img.pokemondb.net/artwork/furret.jpg', 'path': '162_furret.jpg', 'checksum': '2cb50b8161a698f06f5d4736c061c36f', 'status': 'downloaded'}]",furret,162,45,45,90,405,Normal
30,30,60,https://img.pokemondb.net/artwork/hoothoot.jpg,"[{'url': 'https://img.pokemondb.net/artwork/hoothoot.jpg', 'path': '163_hoothoot.jpg', 'checksum': '34cfc10ca53f5266673690e1afe2a9cb', 'status': 'downloaded'}]",hoothoot,163,36,36,50,242,"Normal,Flying"
50,50,100,https://img.pokemondb.net/artwork/noctowl.jpg,"[{'url': 'https://img.pokemondb.net/artwork/noctowl.jpg', 'path': '164_noctowl.jpg', 'checksum': 'b2fec169637f1e0911751843c76879cc', 'status': 'downloaded'}]",noctowl,164,86,86,70,442,"Normal,Flying"
20,30,40,https://img.pokemondb.net/artwork/ledyba.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ledyba.jpg', 'path': '165_ledyba.jpg', 'checksum': '0cbf21ae2aa7164443de13e9fdc3db83', 'status': 'downloaded'}]",ledyba,165,40,40,55,225,"Bug,Flying"
35,50,55,https://img.pokemondb.net/artwork/ledian.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ledian.jpg', 'path': '166_ledian.jpg', 'checksum': 'b829c7f12d445cc5a72e7e4255f7e899', 'status': 'downloaded'}]",ledian,166,55,55,85,335,"Bug,Flying"
60,40,40,https://img.pokemondb.net/artwork/spinarak.jpg,"[{'url': 'https://img.pokemondb.net/artwork/spinarak.jpg', 'path': '167_spinarak.jpg', 'checksum': '93a794e8ce31990f1181a8237f0d6dce', 'status': 'downloaded'}]",spinarak,167,40,40,30,250,"Bug,Poison"
90,70,70,https://img.pokemondb.net/artwork/ariados.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ariados.jpg', 'path': '168_ariados.jpg', 'checksum': 'fa7f45f9c3104127f96c2c796583f667', 'status': 'downloaded'}]",ariados,168,60,60,40,390,"Bug,Poison"
90,80,85,https://img.pokemondb.net/artwork/crobat.jpg,"[{'url': 'https://img.pokemondb.net/artwork/crobat.jpg', 'path': '169_crobat.jpg', 'checksum': '3d7d1c37f0cb7cac1d3a9499684778b2', 'status': 'downloaded'}]",crobat,169,70,70,130,525,"Poison,Flying"
38,38,75,https://img.pokemondb.net/artwork/chinchou.jpg,"[{'url': 'https://img.pokemondb.net/artwork/chinchou.jpg', 'path': '170_chinchou.jpg', 'checksum': '350f932e5535dcce154f029ebd1300ab', 'status': 'downloaded'}]",chinchou,170,56,56,67,330,"Water,Electric"
58,58,125,https://img.pokemondb.net/artwork/lanturn.jpg,"[{'url': 'https://img.pokemondb.net/artwork/lanturn.jpg', 'path': '171_lanturn.jpg', 'checksum': '095372ce34c18135ab091fe9aaf8e1da', 'status': 'downloaded'}]",lanturn,171,76,76,67,460,"Water,Electric"
40,15,20,https://img.pokemondb.net/artwork/pichu.jpg,"[{'url': 'https://img.pokemondb.net/artwork/pichu.jpg', 'path': '172_pichu.jpg', 'checksum': 'eb1f1828dfeaee810f31e25d63d25c5f', 'status': 'downloaded'}]",pichu,172,35,35,60,205,Electric
25,28,50,https://img.pokemondb.net/artwork/cleffa.jpg,"[{'url': 'https://img.pokemondb.net/artwork/cleffa.jpg', 'path': '173_cleffa.jpg', 'checksum': 'f4deaee96c9682985a762c3f5bfe3dd9', 'status': 'downloaded'}]",cleffa,173,45,45,15,208,Fairy
30,15,90,https://img.pokemondb.net/artwork/igglybuff.jpg,"[{'url': 'https://img.pokemondb.net/artwork/igglybuff.jpg', 'path': '174_igglybuff.jpg', 'checksum': '530e55f0ab866881da00c6901a89c992', 'status': 'downloaded'}]",igglybuff,174,40,40,15,230,"Normal,Fairy"
20,65,35,https://img.pokemondb.net/artwork/togepi.jpg,"[{'url': 'https://img.pokemondb.net/artwork/togepi.jpg', 'path': '175_togepi.jpg', 'checksum': '22c90b3755742ff95d7a08edafebb09d', 'status': 'downloaded'}]",togepi,175,40,40,20,220,Fairy
40,85,55,https://img.pokemondb.net/artwork/togetic.jpg,"[{'url': 'https://img.pokemondb.net/artwork/togetic.jpg', 'path': '176_togetic.jpg', 'checksum': '3515f38676e634f92b4a7ac416758432', 'status': 'downloaded'}]",togetic,176,80,80,40,380,"Fairy,Flying"
50,45,40,https://img.pokemondb.net/artwork/natu.jpg,"[{'url': 'https://img.pokemondb.net/artwork/natu.jpg', 'path': '177_natu.jpg', 'checksum': 'bf231044aed58130b0cfd6759fb0006f', 'status': 'downloaded'}]",natu,177,70,70,70,345,"Psychic,Flying"
75,70,65,https://img.pokemondb.net/artwork/xatu.jpg,"[{'url': 'https://img.pokemondb.net/artwork/xatu.jpg', 'path': '178_xatu.jpg', 'checksum': 'c9ade8e522775249ee158d57a989154c', 'status': 'downloaded'}]",xatu,178,95,95,95,495,"Psychic,Flying"
40,40,55,https://img.pokemondb.net/artwork/mareep.jpg,"[{'url': 'https://img.pokemondb.net/artwork/mareep.jpg', 'path': '179_mareep.jpg', 'checksum': 'cef9c7b1c75533272352497490de3c12', 'status': 'downloaded'}]",mareep,179,65,65,35,300,Electric
55,55,70,https://img.pokemondb.net/artwork/flaaffy.jpg,"[{'url': 'https://img.pokemondb.net/artwork/flaaffy.jpg', 'path': '180_flaaffy.jpg', 'checksum': '45987f1fac4e06f5090a6b71550b8d2e', 'status': 'downloaded'}]",flaaffy,180,80,80,45,385,Electric
75,85,90,"https://img.pokemondb.net/artwork/ampharos.jpg,https://img.pokemondb.net/artwork/ampharos-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/ampharos.jpg', 'path': '181_ampharos.jpg', 'checksum': '7b18bbbf7aad53e7ba8bec146fcdfbb6', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/ampharos-mega.jpg', 'path': '181_ampharos.jpg', 'checksum': '2eb5bf533c95bf1b7346dcf319c07bea', 'status': 'downloaded'}]",ampharos,181,115,115,55,535,"Electric,Electric"
80,95,75,https://img.pokemondb.net/artwork/bellossom.jpg,"[{'url': 'https://img.pokemondb.net/artwork/bellossom.jpg', 'path': '182_bellossom.jpg', 'checksum': 'bef5d270ece6d21a1ac78c04718df6d1', 'status': 'downloaded'}]",bellossom,182,90,90,50,480,Grass
20,50,70,https://img.pokemondb.net/artwork/marill.jpg,"[{'url': 'https://img.pokemondb.net/artwork/marill.jpg', 'path': '183_marill.jpg', 'checksum': '0c2fa65c6855ae960ad5808e6a646f93', 'status': 'downloaded'}]",marill,183,20,20,40,220,"Water,Fairy"
50,80,100,https://img.pokemondb.net/artwork/azumarill.jpg,"[{'url': 'https://img.pokemondb.net/artwork/azumarill.jpg', 'path': '184_azumarill.jpg', 'checksum': '704329edbe80d0fc74549ee656da9907', 'status': 'downloaded'}]",azumarill,184,60,60,50,400,"Water,Fairy"
100,115,70,https://img.pokemondb.net/artwork/sudowoodo.jpg,"[{'url': 'https://img.pokemondb.net/artwork/sudowoodo.jpg', 'path': '185_sudowoodo.jpg', 'checksum': 'b2eec2a0cc416b30058578b4c135004c', 'status': 'downloaded'}]",sudowoodo,185,30,30,30,375,Rock
75,75,90,https://img.pokemondb.net/artwork/politoed.jpg,"[{'url': 'https://img.pokemondb.net/artwork/politoed.jpg', 'path': '186_politoed.jpg', 'checksum': '6439e70b3827fabf01f99d3630510567', 'status': 'downloaded'}]",politoed,186,90,90,70,490,Water
35,40,35,https://img.pokemondb.net/artwork/hoppip.jpg,"[{'url': 'https://img.pokemondb.net/artwork/hoppip.jpg', 'path': '187_hoppip.jpg', 'checksum': '6b141b6cf41ea4ef074dc471a9e19474', 'status': 'downloaded'}]",hoppip,187,35,35,50,230,"Grass,Flying"
45,50,55,https://img.pokemondb.net/artwork/skiploom.jpg,"[{'url': 'https://img.pokemondb.net/artwork/skiploom.jpg', 'path': '188_skiploom.jpg', 'checksum': '3a61daeaf390662668488a952b2a30f9', 'status': 'downloaded'}]",skiploom,188,45,45,80,320,"Grass,Flying"
55,70,75,https://img.pokemondb.net/artwork/jumpluff.jpg,"[{'url': 'https://img.pokemondb.net/artwork/jumpluff.jpg', 'path': '189_jumpluff.jpg', 'checksum': 'ced1989cfc58ad398ff9a0fcacce07ec', 'status': 'downloaded'}]",jumpluff,189,55,55,110,420,"Grass,Flying"
70,55,55,https://img.pokemondb.net/artwork/aipom.jpg,"[{'url': 'https://img.pokemondb.net/artwork/aipom.jpg', 'path': '190_aipom.jpg', 'checksum': '8bccc64e165f05ba68beaa384ed3db56', 'status': 'downloaded'}]",aipom,190,40,40,85,345,Normal
30,30,30,https://img.pokemondb.net/artwork/sunkern.jpg,"[{'url': 'https://img.pokemondb.net/artwork/sunkern.jpg', 'path': '191_sunkern.jpg', 'checksum': 'a9a289bd4d8794fc9695a50cd32385d7', 'status': 'downloaded'}]",sunkern,191,30,30,30,180,Grass
75,55,75,https://img.pokemondb.net/artwork/sunflora.jpg,"[{'url': 'https://img.pokemondb.net/artwork/sunflora.jpg', 'path': '192_sunflora.jpg', 'checksum': '047aef84dcf1c5ce2b9ac79e7c591964', 'status': 'downloaded'}]",sunflora,192,105,105,30,445,Grass
65,45,65,https://img.pokemondb.net/artwork/yanma.jpg,"[{'url': 'https://img.pokemondb.net/artwork/yanma.jpg', 'path': '193_yanma.jpg', 'checksum': '97c49e10ba8400e9c83f1d507554654d', 'status': 'downloaded'}]",yanma,193,75,75,95,420,"Bug,Flying"
45,45,55,https://img.pokemondb.net/artwork/wooper.jpg,"[{'url': 'https://img.pokemondb.net/artwork/wooper.jpg', 'path': '194_wooper.jpg', 'checksum': 'a6eee571d919362a01e9f46d095787e2', 'status': 'downloaded'}]",wooper,194,25,25,15,210,"Water,Ground"
85,85,95,https://img.pokemondb.net/artwork/quagsire.jpg,"[{'url': 'https://img.pokemondb.net/artwork/quagsire.jpg', 'path': '195_quagsire.jpg', 'checksum': '92b71fd26dc2fe777c2ef224f3a90b46', 'status': 'downloaded'}]",quagsire,195,65,65,35,430,"Water,Ground"
65,60,65,https://img.pokemondb.net/artwork/espeon.jpg,"[{'url': 'https://img.pokemondb.net/artwork/espeon.jpg', 'path': '196_espeon.jpg', 'checksum': 'ba3913bf8402bc4710f48798978e820b', 'status': 'downloaded'}]",espeon,196,130,130,110,560,Psychic
65,110,95,https://img.pokemondb.net/artwork/umbreon.jpg,"[{'url': 'https://img.pokemondb.net/artwork/umbreon.jpg', 'path': '197_umbreon.jpg', 'checksum': '0440fbb769da1884ae7c0fa82b157c3a', 'status': 'downloaded'}]",umbreon,197,60,60,65,455,Dark
85,42,60,https://img.pokemondb.net/artwork/murkrow.jpg,"[{'url': 'https://img.pokemondb.net/artwork/murkrow.jpg', 'path': '198_murkrow.jpg', 'checksum': '574e12dfa0de74dd08ba7723078bb31f', 'status': 'downloaded'}]",murkrow,198,85,85,91,448,"Dark,Flying"
75,80,95,"https://img.pokemondb.net/artwork/slowking.jpg,https://img.pokemondb.net/artwork/slowking-galarian.jpg","[{'url': 'https://img.pokemondb.net/artwork/slowking.jpg', 'path': '199_slowking.jpg', 'checksum': 'dc9cdf566c113f33f484a98cf26b3885', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/slowking-galarian.jpg', 'path': '199_slowking.jpg', 'checksum': '309be1c2735be5dbd4a14da434b7f980', 'status': 'downloaded'}]",slowking,199,100,100,30,480,"Water,Psychic"
60,60,60,https://img.pokemondb.net/artwork/misdreavus.jpg,"[{'url': 'https://img.pokemondb.net/artwork/misdreavus.jpg', 'path': '200_misdreavus.jpg', 'checksum': '0386f8bf91b4c1888afb7e2df33f1b2f', 'status': 'downloaded'}]",misdreavus,200,85,85,85,435,Ghost
72,48,48,https://img.pokemondb.net/artwork/unown.jpg,"[{'url': 'https://img.pokemondb.net/artwork/unown.jpg', 'path': '201_unown.jpg', 'checksum': '80281764dff94067d9d0b9b32f11c8cb', 'status': 'downloaded'}]",unown,201,72,72,48,360,Psychic
33,58,190,https://img.pokemondb.net/artwork/wobbuffet.jpg,"[{'url': 'https://img.pokemondb.net/artwork/wobbuffet.jpg', 'path': '202_wobbuffet.jpg', 'checksum': '10144333401a893da69f4ddea9ff3932', 'status': 'downloaded'}]",wobbuffet,202,33,33,33,380,Psychic
80,65,70,https://img.pokemondb.net/artwork/girafarig.jpg,"[{'url': 'https://img.pokemondb.net/artwork/girafarig.jpg', 'path': '203_girafarig.jpg', 'checksum': '673012232da4a760471247f24e02e92f', 'status': 'downloaded'}]",girafarig,203,90,90,85,480,"Normal,Psychic"
65,90,50,https://img.pokemondb.net/artwork/pineco.jpg,"[{'url': 'https://img.pokemondb.net/artwork/pineco.jpg', 'path': '204_pineco.jpg', 'checksum': '570013eed9195e7bfd74728fc56acd48', 'status': 'downloaded'}]",pineco,204,35,35,15,290,Bug
90,140,75,https://img.pokemondb.net/artwork/forretress.jpg,"[{'url': 'https://img.pokemondb.net/artwork/forretress.jpg', 'path': '205_forretress.jpg', 'checksum': 'd049c2889d0f804c84dc6dab64c40223', 'status': 'downloaded'}]",forretress,205,60,60,40,465,"Bug,Steel"
70,70,100,https://img.pokemondb.net/artwork/dunsparce.jpg,"[{'url': 'https://img.pokemondb.net/artwork/dunsparce.jpg', 'path': '206_dunsparce.jpg', 'checksum': '9f4ad54d35db041dd3b4ca752b7e268e', 'status': 'downloaded'}]",dunsparce,206,65,65,45,415,Normal
75,105,65,https://img.pokemondb.net/artwork/gligar.jpg,"[{'url': 'https://img.pokemondb.net/artwork/gligar.jpg', 'path': '207_gligar.jpg', 'checksum': '050d4c4c24a3c67906e09baa608b2cd6', 'status': 'downloaded'}]",gligar,207,35,35,85,400,"Ground,Flying"
85,200,75,"https://img.pokemondb.net/artwork/steelix.jpg,https://img.pokemondb.net/artwork/steelix-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/steelix.jpg', 'path': '208_steelix.jpg', 'checksum': 'ae9202d492b6a73b5c263cb00b94c5be', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/steelix-mega.jpg', 'path': '208_steelix.jpg', 'checksum': 'ebe148a92c9d25496e793790d5b0e866', 'status': 'downloaded'}]",steelix,208,55,55,30,500,"Steel,Ground"
80,50,60,https://img.pokemondb.net/artwork/snubbull.jpg,"[{'url': 'https://img.pokemondb.net/artwork/snubbull.jpg', 'path': '209_snubbull.jpg', 'checksum': '3720db45dd0aeca9ab2e89a34cab1a30', 'status': 'downloaded'}]",snubbull,209,40,40,30,300,Fairy
120,75,90,https://img.pokemondb.net/artwork/granbull.jpg,"[{'url': 'https://img.pokemondb.net/artwork/granbull.jpg', 'path': '210_granbull.jpg', 'checksum': '64f3de0033edb2780bdfce3de221a440', 'status': 'downloaded'}]",granbull,210,60,60,45,450,Fairy
95,85,65,"https://img.pokemondb.net/artwork/qwilfish.jpg,https://img.pokemondb.net/artwork/qwilfish-hisuian.jpg","[{'url': 'https://img.pokemondb.net/artwork/qwilfish.jpg', 'path': '211_qwilfish.jpg', 'checksum': 'd8fa96b0e6b62eaa295e53d88b17ff82', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/qwilfish-hisuian.jpg', 'path': '211_qwilfish.jpg', 'checksum': '8679acf47bcf480a5f217df08c604b70', 'status': 'downloaded'}]",qwilfish,211,55,55,85,440,"Water,Poison"
130,100,70,"https://img.pokemondb.net/artwork/scizor.jpg,https://img.pokemondb.net/artwork/scizor-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/scizor.jpg', 'path': '212_scizor.jpg', 'checksum': '84446b4dadfff8737d5b6badda8b30b5', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/scizor-mega.jpg', 'path': '212_scizor.jpg', 'checksum': '38f90c2e4937cdc0fd1ad7568c8a2f1b', 'status': 'downloaded'}]",scizor,212,55,55,65,475,"Bug,Steel"
10,230,20,https://img.pokemondb.net/artwork/shuckle.jpg,"[{'url': 'https://img.pokemondb.net/artwork/shuckle.jpg', 'path': '213_shuckle.jpg', 'checksum': '91510be339e3b9f8a30aa903523baf93', 'status': 'downloaded'}]",shuckle,213,10,10,5,285,"Bug,Rock"
125,75,80,"https://img.pokemondb.net/artwork/heracross.jpg,https://img.pokemondb.net/artwork/heracross-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/heracross.jpg', 'path': '214_heracross.jpg', 'checksum': 'a97c2d3b6cd507edb5e958227920628e', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/heracross-mega.jpg', 'path': '214_heracross.jpg', 'checksum': 'bcace53dca89128e4d6092187447ba51', 'status': 'downloaded'}]",heracross,214,40,40,85,445,"Bug,Fighting"
95,55,55,"https://img.pokemondb.net/artwork/sneasel.jpg,https://img.pokemondb.net/artwork/sneasel-hisuian.jpg","[{'url': 'https://img.pokemondb.net/artwork/sneasel.jpg', 'path': '215_sneasel.jpg', 'checksum': '7e5040dde6fefcafd2fc61a4c003b596', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/sneasel-hisuian.jpg', 'path': '215_sneasel.jpg', 'checksum': 'a9075bb8f3350b98d1dceb13ac18d318', 'status': 'downloaded'}]",sneasel,215,35,35,115,390,"Dark,Ice"
80,50,60,https://img.pokemondb.net/artwork/teddiursa.jpg,"[{'url': 'https://img.pokemondb.net/artwork/teddiursa.jpg', 'path': '216_teddiursa.jpg', 'checksum': 'a6e26abeead8bdb99069f4fe8e1901d6', 'status': 'downloaded'}]",teddiursa,216,50,50,40,330,Normal
130,75,90,https://img.pokemondb.net/artwork/ursaring.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ursaring.jpg', 'path': '217_ursaring.jpg', 'checksum': '0af4d208e8eecc0393502fa43f24fe72', 'status': 'downloaded'}]",ursaring,217,75,75,55,500,Normal
40,40,40,https://img.pokemondb.net/artwork/slugma.jpg,"[{'url': 'https://img.pokemondb.net/artwork/slugma.jpg', 'path': '218_slugma.jpg', 'checksum': '6f117e4f6627c6a9b9ef0e2d6f3a7885', 'status': 'downloaded'}]",slugma,218,70,70,20,280,Fire
50,120,60,https://img.pokemondb.net/artwork/magcargo.jpg,"[{'url': 'https://img.pokemondb.net/artwork/magcargo.jpg', 'path': '219_magcargo.jpg', 'checksum': 'a11f767221f35e86985fab8624b526f1', 'status': 'downloaded'}]",magcargo,219,90,90,30,440,"Fire,Rock"
50,40,50,https://img.pokemondb.net/artwork/swinub.jpg,"[{'url': 'https://img.pokemondb.net/artwork/swinub.jpg', 'path': '220_swinub.jpg', 'checksum': 'fe16577999984286c0a11d6782760bd2', 'status': 'downloaded'}]",swinub,220,30,30,50,250,"Ice,Ground"
100,80,100,https://img.pokemondb.net/artwork/piloswine.jpg,"[{'url': 'https://img.pokemondb.net/artwork/piloswine.jpg', 'path': '221_piloswine.jpg', 'checksum': '4bac346f15c4f0bf5b45f60aea68f026', 'status': 'downloaded'}]",piloswine,221,60,60,50,450,"Ice,Ground"
55,95,65,"https://img.pokemondb.net/artwork/corsola.jpg,https://img.pokemondb.net/artwork/corsola-galarian.jpg","[{'url': 'https://img.pokemondb.net/artwork/corsola.jpg', 'path': '222_corsola.jpg', 'checksum': '63d2365824e8abe5af47337c3c2fdec8', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/corsola-galarian.jpg', 'path': '222_corsola.jpg', 'checksum': '62e649fdaf74deb7e313bd7494d40ab7', 'status': 'downloaded'}]",corsola,222,65,65,35,380,"Water,Rock"
65,35,35,https://img.pokemondb.net/artwork/remoraid.jpg,"[{'url': 'https://img.pokemondb.net/artwork/remoraid.jpg', 'path': '223_remoraid.jpg', 'checksum': 'fd9e3073ba81c812ab2ffd46f45ed87e', 'status': 'downloaded'}]",remoraid,223,65,65,65,330,Water
105,75,75,https://img.pokemondb.net/artwork/octillery.jpg,"[{'url': 'https://img.pokemondb.net/artwork/octillery.jpg', 'path': '224_octillery.jpg', 'checksum': 'a60e17d4d13bcb4f833e0de52d75d40b', 'status': 'downloaded'}]",octillery,224,105,105,45,510,Water
55,45,45,https://img.pokemondb.net/artwork/delibird.jpg,"[{'url': 'https://img.pokemondb.net/artwork/delibird.jpg', 'path': '225_delibird.jpg', 'checksum': 'a84d099f2fe270ed63f70840f9688486', 'status': 'downloaded'}]",delibird,225,65,65,75,350,"Ice,Flying"
40,70,85,https://img.pokemondb.net/artwork/mantine.jpg,"[{'url': 'https://img.pokemondb.net/artwork/mantine.jpg', 'path': '226_mantine.jpg', 'checksum': '0f6835b9b3133c08bc9fa3c86beea53a', 'status': 'downloaded'}]",mantine,226,80,80,70,425,"Water,Flying"
80,140,65,https://img.pokemondb.net/artwork/skarmory.jpg,"[{'url': 'https://img.pokemondb.net/artwork/skarmory.jpg', 'path': '227_skarmory.jpg', 'checksum': 'bc47fdc4dbb6767cab1f178392c3e8e4', 'status': 'downloaded'}]",skarmory,227,40,40,70,435,"Steel,Flying"
60,30,45,https://img.pokemondb.net/artwork/houndour.jpg,"[{'url': 'https://img.pokemondb.net/artwork/houndour.jpg', 'path': '228_houndour.jpg', 'checksum': 'ccf9f944d88a538207335386b22ba1ed', 'status': 'downloaded'}]",houndour,228,80,80,65,360,"Dark,Fire"
90,50,75,"https://img.pokemondb.net/artwork/houndoom.jpg,https://img.pokemondb.net/artwork/houndoom-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/houndoom.jpg', 'path': '229_houndoom.jpg', 'checksum': '8a4820ede779307349871b9a24cb3662', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/houndoom-mega.jpg', 'path': '229_houndoom.jpg', 'checksum': 'c1b357b91d831b365497f428029ccb3f', 'status': 'downloaded'}]",houndoom,229,110,110,95,530,"Dark,Fire"
95,95,75,https://img.pokemondb.net/artwork/kingdra.jpg,"[{'url': 'https://img.pokemondb.net/artwork/kingdra.jpg', 'path': '230_kingdra.jpg', 'checksum': 'b79d6250d74c89ad8f97c3f935ba1084', 'status': 'downloaded'}]",kingdra,230,95,95,85,540,"Water,Dragon"
